spkid,targetname,datetime_jd,e,a,incl,q,M,pha,H,diameter,albedo,moid
20004179,4179 Toutatis (1989 AC),2458590.5,0.6261606624256376,2.5431223144443,0.4478190506979992,0.9507191614024364,211.7926730501952,Y,15.29,5.4,0.405,0.00651
20004179,4179 Toutatis (1989 AC),2458620.5,0.62595251716351,2.543434292042096,0.4477596572864451,0.9513651946983556,219.0786624938774,Y,15.29,5.4,0.405,0.00651
20004179,4179 Toutatis (1989 AC),2458650.5,0.6257497074349766,2.543736270010565,0.4477149322900488,0.9519940432597152,226.3634623577604,Y,15.29,5.4,0.405,0.00651
20004179,4179 Toutatis (1989 AC),2458680.5,0.6255547402972312,2.544026882959335,0.447679866469016,0.952598806880534,233.6475362479487,Y,15.29,5.4,0.405,0.00651
20004179,4179 Toutatis (1989 AC),2458710.5,0.6253688451151358,2.544303798038706,0.4476588485603059,0.9531754702371876,240.9307552892501,Y,15.29,5.4,0.405,0.00651
20004179,4179 Toutatis (1989 AC),2458740.5,0.6251924944770023,2.544568682359239,0.4476608056205081,0.9537234404670074,248.2133936618667,Y,15.29,5.4,0.405,0.00651
20004179,4179 Toutatis (1989 AC),2458770.5,0.6250319452598554,2.544809244602011,0.4476637212670066,0.9542221721331527,255.495226060815,Y,15.29,5.4,0.405,0.00651
20004179,4179 Toutatis (1989 AC),2458800.5,0.6248874204567864,2.545013610436369,0.4476665506781889,0.9546666203833742,262.7753469215183,Y,15.29,5.4,0.405,0.00651
20004179,4179 Toutatis (1989 AC),2458830.5,0.624755105710357,2.545183224746359,0.4476830143561012,0.955067010117721,270.0537797080538,Y,15.29,5.4,0.405,0.00651
20004179,4179 Toutatis (1989 AC),2458860.5,0.6246360278264146,2.545312243446972,0.4477002414676828,0.9554185141223152,277.3307181622659,Y,15.29,5.4,0.405,0.00651
20004179,4179 Toutatis (1989 AC),2458890.5,0.6245284749197131,2.545397671441192,0.4477303026552105,0.9557243456318354,284.6063179960381,Y,15.29,5.4,0.405,0.00651
20004179,4179 Toutatis (1989 AC),2458920.5,0.6244314149728315,2.545451167698707,0.4477879313051716,0.9559914933083572,291.8816084487351,Y,15.29,5.4,0.405,0.00651
20004179,4179 Toutatis (1989 AC),2458950.5,0.6243496242173207,2.545469313999249,0.447848290874852,0.9562065043470968,299.1571126157983,Y,15.29,5.4,0.405,0.00651
20004179,4179 Toutatis (1989 AC),2458980.5,0.6242841372953919,2.545440928697303,0.4479074891378294,0.9563625344891264,306.4327157959603,Y,15.29,5.4,0.405,0.00651
20004179,4179 Toutatis (1989 AC),2459010.5,0.6242335210147378,2.545369341036114,0.4479653724998515,0.956464474998178,313.7087879395856,Y,15.29,5.4,0.405,0.00651
20004179,4179 Toutatis (1989 AC),2459040.5,0.6241964168685493,2.545249163604745,0.4480007424533752,0.9565137556449907,320.9854179436863,Y,15.29,5.4,0.405,0.00651
20004179,4179 Toutatis (1989 AC),2459070.5,0.6241665985225329,2.545077184445618,0.4480241067423512,0.9565250152528916,328.2626854194398,Y,15.29,5.4,0.405,0.00651
20004179,4179 Toutatis (1989 AC),2459100.5,0.624139521803719,2.544879190901082,0.4480462620748897,0.9565195096438456,335.5413780181252,Y,15.29,5.4,0.405,0.00651
20004179,4179 Toutatis (1989 AC),2459130.5,0.6241152029103906,2.544684198268268,0.4480584933709321,0.9565081035232028,342.8220372186759,Y,15.29,5.4,0.405,0.00651
20004179,4179 Toutatis (1989 AC),2459160.5,0.6240957163519293,2.544529732264958,0.4480672345239801,0.9564996262282766,350.1048216471978,Y,15.29,5.4,0.405,0.00651
20004179,4179 Toutatis (1989 AC),2459190.5,0.6240893916817348,2.544480802344888,0.4480715640811621,0.9564973262636158,357.3893477965238,Y,15.29,5.4,0.405,0.00651
20004179,4179 Toutatis (1989 AC),2459220.5,0.6241011963360609,2.544561271370987,0.4480723614860537,0.9564975377579472,4.673999813104912,Y,15.29,5.4,0.405,0.00651
20004179,4179 Toutatis (1989 AC),2459250.5,0.6241181261492467,2.54468175990284,0.4480775602313591,0.9564997482661122,11.95756730516801,Y,15.29,5.4,0.405,0.00651
20004179,4179 Toutatis (1989 AC),2459280.5,0.6241298646659694,2.544762095657259,0.4480887031633316,0.9565000732876056,19.24057258863161,Y,15.29,5.4,0.405,0.00651
20004179,4179 Toutatis (1989 AC),2459310.5,0.624140513858816,2.544823724755503,0.4481096544783239,0.9564961375064972,26.52314976076536,Y,15.29,5.4,0.405,0.00651
20004179,4179 Toutatis (1989 AC),2459340.5,0.6241497634537897,2.54486827589105,0.4481255803979454,0.9564893434725976,33.80548638897715,Y,15.29,5.4,0.405,0.00651
20004179,4179 Toutatis (1989 AC),2459370.5,0.6241575477168881,2.544878941954826,0.4481333305563345,0.956473542307953,41.08825966469415,Y,15.29,5.4,0.405,0.00651
20004179,4179 Toutatis (1989 AC),2459400.5,0.6241671722085249,2.544871800787914,0.4481428561035254,0.9564463652569056,48.3713177340377,Y,15.29,5.4,0.405,0.00651
20004179,4179 Toutatis (1989 AC),2459430.5,0.6241797469195576,2.544859140223002,0.448148707140812,0.9564096061326862,55.65437407102829,Y,15.29,5.4,0.405,0.00651
20004179,4179 Toutatis (1989 AC),2459460.5,0.6241968832853791,2.544839304130977,0.4481600822702311,0.956358542030288,62.93741220387422,Y,15.29,5.4,0.405,0.00651
20004179,4179 Toutatis (1989 AC),2459490.5,0.6242182123248,2.544829564247013,0.4481839019043172,0.9563006029814424,70.21964208782302,Y,15.29,5.4,0.405,0.00651
20004179,4179 Toutatis (1989 AC),2459520.5,0.6242390654842023,2.544835836520339,0.448205248779978,0.9562498921201744,77.50086998013013,Y,15.29,5.4,0.405,0.00651
20004179,4179 Toutatis (1989 AC),2459550.5,0.6242580661306324,2.544843762990536,0.4482240755618478,0.9562045169014628,84.78182647937575,Y,15.29,5.4,0.405,0.00651
20004179,4179 Toutatis (1989 AC),2459580.5,0.6242747224225702,2.544851598224687,0.4482404883547715,0.956165073136336,92.06268485075304,Y,15.29,5.4,0.405,0.00651
20004179,4179 Toutatis (1989 AC),2459610.5,0.6242885297192617,2.544854003373588,0.4482463678085745,0.9561308392573136,99.34399871949746,Y,15.29,5.4,0.405,0.00651
20004179,4179 Toutatis (1989 AC),2459640.5,0.6243053415050019,2.544836936213113,0.44825184041689,0.9560816436760428,106.6264040998097,Y,15.29,5.4,0.405,0.00651
20004179,4179 Toutatis (1989 AC),2459670.5,0.6243283758056031,2.54480673081617,0.4482620113534864,0.9560116778265448,113.9090981395131,Y,15.29,5.4,0.405,0.00651
20004179,4179 Toutatis (1989 AC),2459700.5,0.6243553178170729,2.544773405935339,0.4482711081571137,0.955930597300145,121.1914432406443,Y,15.29,5.4,0.405,0.00651
20004179,4179 Toutatis (1989 AC),2459730.5,0.6243866308691379,2.5447360192546,0.4482817578162994,0.9558368697408788,128.4733293258983,Y,15.29,5.4,0.405,0.00651
20004179,4179 Toutatis (1989 AC),2459760.5,0.6244186040817914,2.544702853261025,0.4482912229103058,0.9557430498248244,135.7541718897833,Y,15.29,5.4,0.405,0.00651
20004179,4179 Toutatis (1989 AC),2459790.5,0.6244452755519786,2.544679261810944,0.4482951545533875,0.9556663189780036,143.0343447400058,Y,15.29,5.4,0.405,0.00651
20004179,4179 Toutatis (1989 AC),2459820.5,0.6244693601178676,2.544655834330917,0.4482966229064557,0.9555962337460912,150.3147368293227,Y,15.29,5.4,0.405,0.00651
20004179,4179 Toutatis (1989 AC),2459850.5,0.624492588981703,2.544630367497343,0.4482965489013103,0.9555275612974647,157.595284786273,Y,15.29,5.4,0.405,0.00651
20004179,4179 Toutatis (1989 AC),2459880.5,0.6245145426416389,2.544603505202271,0.4482958195500324,0.955461610946564,164.8761106610413,Y,15.29,5.4,0.405,0.00651
20004179,4179 Toutatis (1989 AC),2459910.5,0.624539929698697,2.544568178834067,0.4482920737297604,0.9553837473114972,172.1571374385458,Y,15.29,5.4,0.405,0.00651
20004179,4179 Toutatis (1989 AC),2459940.5,0.6245668922837856,2.544527876803992,0.4482834440096061,0.9553000084590634,179.4375627276318,Y,15.29,5.4,0.405,0.00651
